dt,actual
2024-03-28,1623.78
2024-03-29,1552.43
2024-03-30,2099.57
2024-03-31,2296.7
2024-04-01,1587.539
2024-04-02,1645.74
2024-04-03,1569.439
2024-04-04,2116.52
2024-04-05,1905.11
2024-04-06,2123.77
2024-04-07,1755.179
2024-04-08,1900.79
2024-04-09,1761.73
2024-04-10,1676.739
2024-04-11,1603.48
2024-04-12,2029.147
2024-04-13,2482.03
2024-04-14,2480.769
2024-04-15,1813.74
2024-04-16,1807.19
2024-04-17,2055.29
2024-04-18,1754.06
2024-04-19,2198.801
2024-04-20,2630.37
2024-04-21,2742.17
2024-04-22,1941.7
2024-04-23,2174.81
2024-04-24,1638.8
2024-04-25,1856.16
2024-04-26,1974.89
2024-04-27,2814.41
2024-04-28,2201.48
2024-04-29,1692.969
2024-04-30,2181.47
2024-05-01,2349.869
2024-05-02,1793.909
2024-05-03,1952.2
2024-05-04,2393.65
2024-05-05,2659.41
2024-05-06,2104.45
2024-05-07,2136.45
2024-05-08,2066.86
2024-05-09,2015.33
2024-05-10,2032.61
2024-05-11,2474.2
2024-05-12,3197.28
2024-05-13,2055.15
2024-05-14,2207.509
2024-05-15,1966.89
2024-05-16,1960.379
2024-05-17,2021.22
2024-05-18,2769.51
2024-05-19,3004.61
2024-05-20,2185.09
2024-05-21,2266.28
2024-05-22,2023.16
2024-05-23,1918.24
2024-05-24,2191.201
2024-05-25,2781.65
2024-05-26,2958.89
2024-05-27,2398.09
2024-05-28,2186.78
2024-05-29,2005.299
2024-05-30,2086.52
2024-05-31,2239.236
2024-06-01,2586.03
2024-06-02,2659.49
2024-06-03,2237.4
2024-06-04,2143.959
2024-06-05,2001.67
2024-06-06,1888.69
2024-06-07,1997.65
2024-06-08,2569.279
2024-06-09,2286.41
2024-06-10,2730.47
2024-06-11,2260.54
2024-06-12,2061.649
2024-06-13,2091.85
2024-06-14,2131.7
2024-06-15,2664.47
2024-06-16,2996.848
2024-06-17,2176.92
2024-06-18,2224.37
2024-06-19,2429.87
2024-06-20,2250.63
2024-06-21,2459.629
2024-06-22,3322.069
2024-06-23,3249.1
2024-06-24,2454.64
2024-06-25,2558.29
